Test Name,ID Number,Type,Status,numOfLocations,Locations,Creator,Tags,Details
Example Test 1,87654321-4321-5678-dcba-0987654321ab,api,live,3,"['aws:us-east-1', 'gcp:us-central1', 'azure:westus']",John Doe,"['tag1', 'tag2']","{'request': {'method': 'GET', 'url': 'https://api.example.com/endpoint'}, 'assertions': [{'operator': 'statusCode', 'target': 200}, {'operator': 'bodyContains', 'target': 'Example response'}]}"
Example Test 2,56789012-2109-8765-dcba-0987654321ab,browser,paused,3,"['aws:us-west-2', 'gcp:europe-west1', 'azure:westeurope']",Jane Smith,"['tag3', 'tag4']","{'script': ""console.log('Hello, World!');"", 'assertions': [{'operator': 'status', 'target': 'completed'}, {'operator': 'steps', 'target': 5}]}"
Example Test 3,45678901-4321-5678-dcba-0987654321ab,api,live,3,"['aws:us-west-1', 'gcp:asia-northeast1', 'azure:eastus']",Alice Johnson,"['tag5', 'tag6']","{'request': {'method': 'POST', 'url': 'https://api.example.com/create'}, 'assertions': [{'operator': 'statusCode', 'target': 201}, {'operator': 'bodyContains', 'target': 'Created successfully'}]}"
Example Test 4,34567890-2109-8765-dcba-0987654321ab,browser,live,3,"['aws:ap-southeast-1', 'gcp:australia-southeast1', 'azure:australiaeast']",Bob Smith,"['tag7', 'tag8']","{'script': ""console.log('Testing...');"", 'assertions': [{'operator': 'status', 'target': 'completed'}, {'operator': 'steps', 'target': 10}]}"
Example Test 5,23456789-4321-5678-dcba-0987654321ab,api,paused,3,"['aws:eu-west-1', 'gcp:southamerica-east1', 'azure:centralus']",Eve Johnson,"['tag9', 'tag10']","{'request': {'method': 'GET', 'url': 'https://api.example.com/data'}, 'assertions': [{'operator': 'statusCode', 'target': 200}, {'operator': 'bodyContains', 'target': 'Data retrieved'}]}"
Example Test 6,12345678-2109-8765-dcba-0987654321ab,browser,paused,3,"['aws:eu-central-1', 'gcp:asia-southeast1', 'azure:southeastasia']",Mark Johnson,"['tag11', 'tag12']","{'script': ""console.log('Hello, World!');"", 'assertions': [{'operator': 'status', 'target': 'completed'}, {'operator': 'steps', 'target': 5}]}"
Example Test 7,34567890-4321-5678-dcba-0987654321ab,api,live,3,"['aws:ap-northeast-1', 'gcp:asia-east1', 'azure:australiacentral']",Sarah Smith,"['tag13', 'tag14']","{'request': {'method': 'POST', 'url': 'https://api.example.com/update'}, 'assertions': [{'operator': 'statusCode', 'target': 204}, {'operator': 'bodyContains', 'target': 'Updated successfully'}]}"
Example Test 8,23456789-2109-8765-dcba-0987654321ab,browser,live,3,"['aws:ap-south-1', 'gcp:asia-northeast2', 'azure:uksouth']",Alex Johnson,"['tag15', 'tag16']","{'script': ""console.log('Testing...');"", 'assertions': [{'operator': 'status', 'target': 'completed'}, {'operator': 'steps', 'target': 10}]}"
Example Test 9,87654321-4321-5678-dcba-0987654321ab,api,paused,3,"['aws:ca-central-1', 'gcp:europe-north1', 'azure:northeurope']",Emily Johnson,"['tag17', 'tag18']","{'request': {'method': 'GET', 'url': 'https://api.example.com/info'}, 'assertions': [{'operator': 'statusCode', 'target': 200}, {'operator': 'bodyContains', 'target': 'Info received'}]}"
Example Test 10,76543210-2109-8765-dcba-0987654321ab,browser,live,3,"['aws:sa-east-1', 'gcp:asia-south1', 'azure:brazilsouth']",Michael Smith,"['tag19', 'tag20']","{'script': ""console.log('Hello, World!');"", 'assertions': [{'operator': 'status', 'target': 'completed'}, {'operator': 'steps', 'target': 5}]}"
